Company Name,Industry,Location,Website,Description,Rating (1-10),Contact/Notes
SuppleMindHQ,Health/Fitness,SF Bay Area,https://supplemindhq.com,AI-powered supplement tracking app - needs lifestyle/health content,9,
Snapveil,Event Tech,Unknown,https://snapveil.com,Event photo sharing for weddings - highly visual needs social proof,10,
Guest2Host,Travel/Hospitality,Unknown,https://guest2host.com,Airbnb host direct booking sites - property visuals needed,9,
Customermates,CRM/SaaS,Germany (EU),https://customermates.com,AI-native CRM - B2B content marketing needed,6,
Doggy Style,Pet Services,Silicon Valley,https://doggystylegrooming.com,Dog grooming - YOUR CLIENT perfect fit example,10,You made video for them
Vibe Otter,Website Builder,Unknown,https://vibeotter.com,AI website builder - needs marketing but not core fit,5,
FuelOS,Health/Fitness,Unknown,https://fuelos.com,Voice/photo meal logging - health content needed,8,
Kachilu,AI Automation,Unknown,https://kachilu.com,AI business automation - B2B marketing,6,
Lorka AI,AI Tools,Unknown,https://lorka.ai,AI chat/search/image tools - needs consumer marketing,7,
Astro Seek,Astrology/Spiritual,Unknown,https://astroseek.com,AI astrology charts - niche content opportunities,7,
Unbury,Productivity/AI,Unknown,https://unbury.app,Local AI screenshot memory app - productivity content,6,
Glass Arc,Developer Tools,Unknown,https://glassarc.dev,Backend development tool - technical B2B,4,
Voxbot,Business/VoIP,Unknown,https://voxbot.io,Call answering for trades/home services - great local fit,9,
Bombop,Entertainment/AI,Unknown,https://bombop.app,AI dance video generator - VISUAL consumer app,7,
Platoo,Restaurant Tech,Unknown,https://platoo.io,QR menus for restaurants - hospitality marketing,8,
WifiProof,Travel/Utility,Unknown,https://wifiproof.com,Wifi speed testing for travelers - utility app,5,
Chronological Age Calculator,Education/Tool,Unknown,https://chronologicalagecalculator.com,Simple calculator tool - limited marketing need,3,
Payfetch,Business/Finance,Unknown,https://payfetch.app,AI invoice follow-ups for freelancers - B2B service,7,
Rob's Money Lab,Finance/Tool,Unknown,https://robsmoneylab.com,CSV money tracker - indie project low budget,4,
FluidCast,Podcast/Entertainment,Unknown,https://fluidcast.fm,Podcast player - content platform,5,
Starnus,Sales/Automation,Unknown,https://starnus.com,Outbound sales automation - sales tool,5,
InboxGuard,Security/Email,Unknown,https://inboxguard.ai,AI email security - B2B cybersecurity,6,
Slopify,Music/Commentary,Unknown,https://slopify.com,Music commentary platform - content niche,5,
FindFi,Finance/Crypto,Unknown,https://findfi.com,DeFi/crypto job marketplace - fintech B2B,6,
Supaflow,Data/No-code,Unknown,https://supaflow.io,No-code data pipelines - technical B2B,4,
Pingwish,E-commerce/Tool,Unknown,https://pingwish.com,Privacy wishlist - consumer utility,5,
AutoApplier,Job Search/AI,Unknown,https://autoapplier.ai,Automate job applications - job seeker tool,6,
PatentRain,Legal/IP,Unknown,https://patentrain.com,Software patent generation - legal tech B2B,5,
OmniFile,Productivity/Search,Unknown,https://omnifile.app,File search utility - productivity tool,4,
DuoPlus Cloud Phone,Tech/Cloud,Unknown,https://duoplus.io,Multi-account Android cloud phones - technical tool,4,
FocusBae,Productivity/AI,Unknown,https://focusbae.ai,AI coworker assistant - productivity B2B,5,
Apiosk,Developer/API,Unknown,https://apiosk.com,Sell API calls marketplace - developer tool,3,
Live Through Time,Gaming/AI,Unknown,https://livethroughtime.com,AI historical life simulator - gaming content,7,
SubSmith,Language/Learning,Unknown,https://subsmith.com,Language learning with content - edtech,8,
Tetha,Productivity/Mental Health,Unknown,https://tetha.app,Task paralysis focus tool - productivity/health,6,
Zocdoc,Health Tech,NYC,https://zocdoc.com,Doctor booking platform - healthcare content marketing,9,
Codecademy,Ed Tech,NYC,https://codecademy.com,Online coding education - always needs content,9,
Datadog,DevOps/SaaS,NYC,https://datadog.com,Monitoring platform - B2B technical marketing,6,
Circle,FinTech,NYC,https://circle.com,USDC stablecoin platform - fintech thought leadership,8,
BlackLine,FinTech/Accounting,NYC,https://blackline.com,Financial close software - B2B enterprise,6,
Toast,Restaurant Tech,SF,https://toast.com,Restaurant POS platform - hospitality tech marketing,8,
Instacart,Grocery Delivery,SF,https://instacart.com,E-commerce delivery - consumer marketing,8,
Dropbox,Cloud Storage,SF,https://dropbox.com,Established but always needs content,6,
GitLab,DevOps,SF,https://gitlab.com,DevOps platform - technical B2B content,5,
Brex,FinTech,SF,https://brex.com,Business banking/cards - fintech content,8,
Checkr,HR Tech,SF,https://checkr.com,Background check platform - B2B hiring space,6,
Artera,Health Tech,SF,https://artera.io,Patient communications - healthcare B2B,7,
Super Mensch,Restaurant,SF Marina,https://supermensch.com,Jewish deli new opening - food content,9,
Equal Parts,Restaurant,SF North Beach,https://equalparts.sf,Mexican seafood new restaurant - visual food content,10,
Ama,Restaurant,SF FiDi,https://amasf.com,Fine dining Japanese-Italian - high-end visual content,10,
Parachute Bakery,Bakery,SF Ferry Building,https://parachutebakery.com,New bakery from Michelin team - food content gold,9,
Arquet,Restaurant,SF Ferry Building,https://arquetsf.com,Fire-roasted California cuisine - visual dining,9,
Hamburguesa Bar,Restaurant,SF Mission,https://hamburguesabar.com,Burger spot featured on Eater - casual dining content,8,
Beit Rima,Restaurant,SF Cole Valley,https://beitrimasf.com,Middle Eastern restaurant - food content,8,
Plow,Restaurant,SF Potrero Hill,https://plowsf.com,Popular brunch spot - established but content needed,7,
El Mil Amores,Restaurant,SF Mission,https://elmilamores.com,Mexican breakfast/lunch - casual visual content,8,
